Artist,Song
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
Rhiannon Giddens & Francesco Turrisi,Avalon
Anna B Savage,Baby Grand
Moneybagg Yo,Wockesha
Snail Mail,Automate
Farruko,Pepas
Carly Pearce,29
Phoebe Bridgers,That Funny Feeling
Yola,Starlight
Bachelor,Back Of My Hand
Tinashe (feat. Jeremih),X
Pom Pom Squad,Drunk Voicemail
Nas,Moments
Will Liverman,The Rain
Indigo De Souza,Way Out
Isaiah Rashad,Headshots (4r Da Locals)
STAYC,Stereotype
Khemmis,Avernal Gate
Yuta Orisaka,Orca
UNIIQU3,Microdosing
"Tyler, The Creator (feat. YoungBoy Never Broke Again & Ty Dolla $ign)",WUSYANAME
"Yotuel, Gente De Zona, Descemer Bueno, Maykel Osorbo and El Funky",Patria y Vida
Meet Me @ The Altar,Hit Like A Girl
Zao,Ship Of Theseus
Silvana Estrada,Marchita
Porter Robinson,Musician
Recap,Hedera
SOPHIE,UNISIL
Daniel Bachman,Coronach
Cardi B,Up
Azealia Banks,F*** Him All Night
Durand Jones & The Indications,Witchoo
The Baylor Project (feat. Dianne Reeves & Jazzmeia Horn),We Swing
"Tion Wayne x Russ Millions (feat. ArrDee, E1, ZT, Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Body (Remix)
Robert Plant & Alison Krauss,Go Your Way
Lana Del Rey,White Dress
Doja Cat (feat. SZA),Kiss Me More
Mannequin Pussy,To Lose You
Kacey Musgraves,good wife
Camila Cabello,Don't Go Yet
Sofia Kourtesis,La Perla
Capella Grey,Gyalis
Larry June,Iced Coffee
Valerie June (feat. Mavis Staples),Why the Bright Stars Glow
Xenia Rubinos,Sacude
Dawn Richard,Bussifame
Tammy Lakkis,Notice
Amaarae (feat. Kali Uchis),SAD GIRLZ LUV MONEY (Remix)
BIA (feat. Nicki Minaj),WHOLE LOTTA MONEY (Remix)
Orquesta Akokán,Mi Conga Es De Akokán
Yves Tumor,Jackie
Spice (feat. Shaggy & Sean Paul),Go Down Deh
Little Simz (feat. Cleo Sol),Woman
Leon Bridges,Motorbike
Clairo,Amoeba
Dua Saleh (feat. Amaarae),fitt
Joy Oladokun,Jordan
BLACKSTARKIDS,JUNO
Westside Gunn (feat. Jadakiss & Stove God Cooks),RIGHT NOW
Drake (feat. 21 Savage & Project Pat),Knife Talk
Caroline Polachek,Bunny is a Rider
Emily D'Angelo,Nausicaa
Victoria Monét,F.*.*.*.
Esperanza Spalding,Formwela 10
Aventura & Bad Bunny,Volvi
The Linda Lindas,"Racist, Sexist Boy (Live at LA Public Library)"
Charli XCX,Good Ones
Migos,Avalanche
Amber Mark,What It Is
James Francies,713
Silk Sonic,Leave the Door Open
PinkPantheress,Just for me
THE ANXIETY,Meet Me At Our Spot (Live)
MUNA (feat. Phoebe Bridgers),Silk Chiffon
YEИDRY,YA
Japanese Breakfast,Be Sweet
serpentwithfeet,Same Size Shoe
"Petal Supply (feat. umru, Himera & trndytrndy)",1
Toumani Diabaté and The London Symphony Orchestra,Elyne Road
Olivia Rodrigo,deja vu
Emily Scott Robinson,Let 'em Burn
Mdou Moctar,Afrique Victime
Mitski,Working for the Knife
Lucky Daye (feat. Yebba),How Much Can A Heart Take
Remi Wolf,Grumpy Old Man
Noname,Rainforest
Sun-EL Musician (feat. Simmy),Higher
Baby Keem (feat. Kendrick Lamar),range brothers
Brandee Younger,Reclamation
Brandi Carlile,Broken Horses
Olivia Rodrigo,good 4 u
Chlöe,Have Mercy
Rauw Alejandro,Todo de Ti
Cassandra Jenkins,Hard Drive
Sharon Van Etten & Angel Olsen,Like I Used To
Megan Thee Stallion,Thot S***
Lucy Dacus,Thumbs
Wet Leg,Chaise Longue
Lil Nas X,MONTERO (Call Me By Your Name)
Lithuanian National Symphony Orchestra,Saudade
Little Simz,Gorilla
Ian William Craig,Attention For It Radiates
Viking Ding Dong x Ravi B,Leave It Alone (Remix)
Adeem the Artist,Middle of a Heart
"Zahsosaa, D STURDY & DJ Crazy",Shakedhat
Gabriels,If You Only Knew
DOMi & JD BECK,SMiLE
Rema,Calm Down
Pigeon Pit,milk crates
Tyler Childers,Angel Band (Jubilee Version)
Straw Man Army,Human Kind
Guitarricadelafuente,Quien encendió la luz
Mary Halvorson,Night Shift
Leyla McCalla,Dodinin
The Mountain Goats,Bleed Out
NewJeans,Hype Boy
Joyce,Feminina
Ayra Starr,Rush
Disclosure feat. RAYE,Waterfall
Ari Lennox,POF
The 1975,Part of the Band
Anna Tivel,Black Umbrella
Caroline Shaw & Attacca Quartet,First Essay (Nimrod)
Beth Orton,Friday Night
DJ Python,Angel
Patricia Brennan,Unquiet Respect
Black Sherif,Kwaku the Traveller
Madison Cunningham,Life According To Raechel
La Doña,Penas Con Pan
Julia Jacklin,"Love, Try Not To Let Go"
Molly Tuttle & Golden Highway,Crooked Tree
"Black Country, New Road",The Place Where He Inserted the Blade
Khruangbin & Leon Bridges,B-Side
Nduduzo Makhathini,Unonkanyamba
KAROL G,PROVENZA
Vince Staples,When Sparks Fly
Tove Lo,2 Die 4
Jazmine Sullivan,BPW
Denzel Curry,Walkin
beabadoobee,Talk
Björk,Atopos
Hyd,Afar
Sky Ferreira,Don't Forget
Regina Spektor,Up The Mountain
Tommy McLain feat. Elvis Costello,I Ran Down Every Dream
Yahritza y Su Esencia,Estas En Mi Pasado
Víkingur Ólafsson,"Schumann: Study in Canonic Form, Op. 56, No. 1"
Lil Yachty,Poland
LF System,Afraid to Feel
Soccer Mommy,Shotgun
LE SSERAFIM,Antifragile
Flo Milli,Bed Time
Kendrick Lamar,The Heart Part 5
Sudan Archives,Home Maker
Fly Anakin,Love Song (Come Back)
Julius Rodriguez,Dora's Lullaby
Maggie Rogers,That's Where I Am
Rico Nasty,Gotsta Get Paid
Anna Butterss,Doo Wop
Sean Shibe,Peace Piece
Syd feat. Lucky Daye,CYBAH
Ice Spice,Munch (Feelin' U)
Joy Orbison x Overmono feat. ABRA,Blind Date
NxWorries feat. H.E.R.,Where I Go
Joan Shelley feat. Bill Callahan,Amberlit Morning
Doechii,Crazy
Julia Bullock,One by One
Taylor Swift,Anti-Hero
Hikaru Utada,BAD MODE
Koffee,Pull Up
SiR feat. Scribz Riley,Life is Good
Hermanos Gutiérrez,El Bueno y El Malo
Porridge Radio,Back To The Radio
Kevin Morby,This is a Photograph
Makaya McCraven,Dream Another
Ethel Cain,American Teenager
Megan Thee Stallion,Plan B
The Beths,Expert in a Dying Field
Let's Eat Grandma,Happy New Year
Omar Apollo,Tamagotchi
Molly Nilsson,Pompeii
Third Coast Percussion,Derivative
Plains,Abilene
Fireboy DML & Asake,Bandana
Lizzo,About Damn Time
SZA,Shirt
Zach Bryan,Something in the Orange
Fontaines D.C.,Jackie Down the Line
Harry Styles,As It Was
Stromae,L'enfer
Steve Lacy,Bad Habit
Joyce Wrice x KAYTRANADA,Iced Tea
MUNA,What I Want
Paramore,This is Why
Gunna & Future feat. Young Thug,pushin P
ROSALÍA,SAOKO
Alex G,Runner
Bad Bunny,El Apagón
Beyoncé,ALIEN SUPERSTAR
Hitkidd & GloRilla,F.N.F. (Let's Go)
